salary_id,job_id,pay_period,currency,compensation_type,standardized_max_salary,standardized_min_salary,standardized_med_salary,currency_encoded,compensation_type_encoded
34186,3902342461,YEARLY,USD,BASE_SALARY,135000.0,100000.0,100000.0,5,0
34187,3905824372,YEARLY,USD,BASE_SALARY,180000.0,120000.0,120000.0,5,0
34188,3904087146,YEARLY,USD,BASE_SALARY,223600.0,115000.0,115000.0,5,0
34189,3902347050,YEARLY,USD,BASE_SALARY,120000.0,60000.0,63918.309907429066,5,0
34190,3904089075,YEARLY,USD,BASE_SALARY,239000.0,122900.0,122900.0,5,0
34191,3904083822,YEARLY,USD,BASE_SALARY,185000.0,92500.0,92500.0,5,0
34192,3904085745,YEARLY,USD,BASE_SALARY,185000.0,79600.0,79600.0,5,0
34193,3905824328,YEARLY,USD,BASE_SALARY,115000.0,90000.0,90000.0,5,0
34194,3904089070,YEARLY,USD,BASE_SALARY,247600.0,136000.0,136000.0,5,0
34195,3904087117,YEARLY,USD,BASE_SALARY,212800.0,111600.0,111600.0,5,0
34196,3904086122,YEARLY,USD,BASE_SALARY,181500.0,90500.0,90500.0,5,0
34197,3902340671,YEARLY,USD,BASE_SALARY,80000.0,68000.0,68000.0,5,0
34198,3905827063,YEARLY,USD,BASE_SALARY,170.0,130.0,170.0,5,0
34199,3905827078,YEARLY,USD,BASE_SALARY,135000.0,120000.0,120000.0,5,0
34200,3902344324,YEARLY,USD,BASE_SALARY,650000.0,450000.0,450000.0,5,0
34201,3905827047,HOURLY,USD,BASE_SALARY,170560.0,156000.0,156000.0,5,0
34202,3902345198,YEARLY,USD,BASE_SALARY,90000.0,70000.0,70000.0,5,0
34203,3902345292,YEARLY,USD,BASE_SALARY,60.0,40.28,60.0,5,0
34204,3902343258,YEARLY,USD,BASE_SALARY,90000.0,70000.0,70000.0,5,0
34205,3904088432,YEARLY,USD,BASE_SALARY,100000.0,70000.0,70000.0,5,0
34206,3905825203,YEARLY,USD,BASE_SALARY,120000.0,105000.0,105000.0,5,0
34207,3905827113,HOURLY,USD,BASE_SALARY,45760.0,41600.0,45760.0,5,0
34208,3905820672,YEARLY,USD,BASE_SALARY,400000.0,50000.0,63918.309907429066,5,0
34209,3905822703,YEARLY,USD,BASE_SALARY,70000.0,60000.0,63918.309907429066,5,0
34210,3902341645,YEARLY,USD,BASE_SALARY,50000.0,40000.0,50000.0,5,0
34211,3902342463,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
